idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
284,1129000,958000,171000,13,189,2702,1.178497,false
285,1130000,1016000,114000,16,200,2931,1.112205,true
286,1135000,345000,790000,15,66,1370,3.289855,false
287,1148000,1017000,131000,17,200,2213,1.128810,true
288,1154000,713000,441000,23,138,2207,1.618513,false
289,1127000,414000,713000,14,80,2912,2.722222,false
290,1131000,476000,655000,16,92,1843,2.376050,false
291,1135000,952000,183000,17,187,2964,1.192227,false
292,1111000,1010000,101000,10,200,3005,1.100000,true
293,1130000,1015000,115000,15,200,2946,1.113300,true
294,1128000,264000,864000,14,50,1733,4.272727,false
295,1120000,1015000,105000,15,200,3279,1.103448,true
296,1135000,250000,885000,15,47,1729,4.540000,false
297,1127000,1017000,110000,17,200,2513,1.108161,true
298,1143000,488000,655000,23,93,1953,2.342213,false
299,1127000,386000,741000,16,74,2027,2.919689,false
